"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Frederik Andersen",8500,"NJ@TOR 07:30PM ET",5.200,"TOR"
"C","Auston Matthews",8300,"NJ@TOR 07:30PM ET",6.167,"TOR"
"G","John Gibson",8300,"NYI@ANH 10:00PM ET",3.800,"ANH"
"G","Curtis McElhinney",8200,"NJ@TOR 07:30PM ET",0,"TOR"
"C","Sidney Crosby",8200,"PIT@WAS 07:30PM ET",5.167,"PIT"
"G","Ryan Miller",8200,"NYI@ANH 10:00PM ET",0,"ANH"
"G","Jonathan Quick",8200,"CGY@LA 10:30PM ET",9.400,"LA"
"LW","Alex Ovechkin",8000,"PIT@WAS 07:30PM ET",11.400,"WAS"
"G","Darcy Kuemper",8000,"CGY@LA 10:30PM ET",0,"LA"
"G","Tuukka Rask",7900,"BOS@COL 09:30PM ET",3.000,"BOS"
"G","Braden Holtby",7700,"PIT@WAS 07:30PM ET",7.100,"WAS"
"G","Reto Berra",7700,"NYI@ANH 10:00PM ET",0,"ANH"
"G","Anton Khudobin",7600,"BOS@COL 09:30PM ET",0,"BOS"
"G","Philipp Grubauer",7500,"PIT@WAS 07:30PM ET",3.200,"WAS"
"C","Evgeni Malkin",7400,"PIT@WAS 07:30PM ET",5.000,"PIT"
"G","Matt Murray",7400,"PIT@WAS 07:30PM ET",3.333,"PIT"
"LW","Brad Marchand",7400,"BOS@COL 09:30PM ET",2.750,"BOS"
"G","Mike Smith",7300,"CGY@LA 10:30PM ET",8.333,"CGY"
"G","Antti Niemi",7200,"PIT@WAS 07:30PM ET",-1.100,"PIT"
"G","Semyon Varlamov",7200,"BOS@COL 09:30PM ET",9.600,"COL"
"RW","David Pastrnak",7100,"BOS@COL 09:30PM ET",3.500,"BOS"
"G","Eddie Lack",7100,"CGY@LA 10:30PM ET",0,"CGY"
"G","Jonathan Bernier",7000,"BOS@COL 09:30PM ET",3.000,"COL"
"G","Cory Schneider",6900,"NJ@TOR 07:30PM ET",7.800,"NJ"
"G","Keith Kinkaid",6800,"NJ@TOR 07:30PM ET",0,"NJ"
"C","Ryan Getzlaf",6800,"NYI@ANH 10:00PM ET",0.750,"ANH"
"G","Jaroslav Halak",6800,"NYI@ANH 10:00PM ET",3.700,"NYI"
"G","Thomas Greiss",6800,"NYI@ANH 10:00PM ET",1.900,"NYI"
