"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21429-9416","G","Braden","Braden Holtby","Holtby","28.399999618530273","2","9200","PIT@WAS","WAS","PIT","","","",""
"21429-8412","G","Jonathan","Jonathan Quick","Quick","37.599998474121094","2","9000","CGY@LA","LA","CGY","","","",""
"21429-8594","C","Sidney","Sidney Crosby","Crosby","19.8000005086263","3","9000","PIT@WAS","PIT","WAS","","","",""
"21429-8718","W","Alex","Alex Ovechkin","Ovechkin","38.833333333333336","3","8800","PIT@WAS","WAS","PIT","","","",""
"21429-42869","G","Matt","Matt Murray","Murray","13.333333333333334","3","8800","PIT@WAS","PIT","WAS","","","",""
"21429-23072","G","Frederik","Frederik Andersen","Andersen","20.8000005086263","3","8600","NJ@TOR","TOR","NJ","","","",""
"21429-8781","G","Cory","Cory Schneider","Schneider","31.200000762939453","2","8300","NJ@TOR","NJ","TOR","","","",""
"21429-8595","C","Evgeni","Evgeni Malkin","Malkin","18.733333587646484","3","8300","PIT@WAS","PIT","WAS","","","",""
"21429-15268","G","John","John Gibson","Gibson","15.199999491373697","3","8300","NYI@ANH","ANH","NYI","","","",""
"21429-8193","G","Tuukka","Tuukka Rask","Rask","12","2","8200","BOS@COL","BOS","COL","","","",""
"21429-8672","G","Mike","Mike Smith","Smith","33.333333333333336","3","8200","CGY@LA","CGY","LA","","","",""
"21429-8494","C","John","John Tavares","Tavares","18.8000005086263","3","8000","NYI@ANH","NYI","ANH","","","",""
"21429-8732","G","Semyon","Semyon Varlamov","Varlamov","38.400001525878906","2","7900","BOS@COL","COL","BOS","","","",""
"21429-70899","C","Auston","Auston Matthews","Matthews","23.100001017252605","3","7900","NJ@TOR","TOR","NJ","","","",""
"21429-8212","G","Ryan","Ryan Miller","Miller","16.844443992332177","54","7800","NYI@ANH","ANH","NYI","IR","Upper body","",""
"21429-8893","G","Anton","Anton Khudobin","Khudobin","13.800000190734863","16","7800","BOS@COL","BOS","COL","","","",""
"21429-12697","G","Philipp","Philipp Grubauer","Grubauer","12.800000190734863","1","7800","PIT@WAS","WAS","PIT","","","",""
"21429-9288","G","Antti","Antti Niemi","Niemi","-8.800000190734863","1","7600","PIT@WAS","PIT","WAS","","","",""
"21429-8633","G","Thomas","Thomas Greiss","Greiss","7.599999904632568","2","7600","NYI@ANH","NYI","ANH","","","",""
"21429-8233","G","Curtis","Curtis McElhinney","McElhinney","16.761904761904763","21","7500","NJ@TOR","TOR","NJ","","","",""
"21429-8763","W","Brad","Brad Marchand","Marchand","9.399999618530273","2","7500","BOS@COL","BOS","COL","","","",""
"21429-11370","G","Eddie","Eddie Lack","Lack","13.360000610351562","20","7500","CGY@LA","CGY","LA","","","",""
"21429-54514","W","Johnny","Johnny Gaudreau","Gaudreau","18.900000254313152","3","7500","CGY@LA","CGY","LA","","","",""
"21429-8453","G","Jaroslav","Jaroslav Halak","Halak","14.800000190734863","2","7500","NYI@ANH","NYI","ANH","","","",""
"21429-8780","G","Jonathan","Jonathan Bernier","Bernier","12","1","7400","BOS@COL","COL","BOS","","","",""
"21429-43219","G","Kristers","Kristers Gudlevskis","Gudlevskis","2.4000000953674316","1","7400","NYI@ANH","NYI","ANH","","","",""
"21429-59218","W","David","David Pastrnak","Pastrnak","12.649999618530273","2","7400","BOS@COL","BOS","COL","","","",""
"21429-39349","G","Reto","Reto Berra","Berra","4.228571483067104","7","7400","NYI@ANH","ANH","NYI","","","",""
"21429-8682","W","Phil","Phil Kessel","Kessel","13.766666412353516","3","7400","PIT@WAS","PIT","WAS","","","",""
"21429-8134","C","Ryan","Ryan Getzlaf","Getzlaf","4.800000190734863","1","7300","NYI@ANH","ANH","NYI","","","",""
"21429-14466","G","Darcy","Darcy Kuemper","Kuemper","15.644444783528646","18","7200","CGY@LA","LA","CGY","","","",""
"21429-41389","C","Sean","Sean Monahan","Monahan","13.766666412353516","3","7200","CGY@LA","CGY","LA","","","",""
"21429-12410","W","Taylor","Taylor Hall","Hall","21.049999237060547","2","7100","NJ@TOR","NJ","TOR","","","",""
"21429-14183","G","Keith","Keith Kinkaid","Kinkaid","15.938461303710938","26","7100","NJ@TOR","NJ","TOR","","","",""
"21429-8175","C","Patrice","Patrice Bergeron","Bergeron","13.682278790051424","79","7100","BOS@COL","BOS","COL","DTD","Lower body","",""
"21429-52475","C","Evgeny","Evgeny Kuznetsov","Kuznetsov","24.333333333333332","3","7000","PIT@WAS","WAS","PIT","","","",""
"21429-8555","C","Jeff","Jeff Carter","Carter","8","2","6900","CGY@LA","LA","CGY","","","",""
"21429-8608","D","Kris","Kris Letang","Letang","9.066666920979818","3","6700","PIT@WAS","PIT","WAS","","","",""
"21429-59276","W","William","William Nylander","Nylander","15.366666158040365","3","6500","NJ@TOR","TOR","NJ","","","",""
"21429-15269","C","Rickard","Rickard Rakell","Rakell","16.266666412353516","3","6500","NYI@ANH","ANH","NYI","","","",""
